Dbp2.1	Dbp2.2	Dbp2.3	type
YOR298C-A	201	205	242	gene
YOR299W	43	31	83	gene
YOR303W	34	38	62	gene
YOR310C	24	20	32	gene
YOR311C	28	7	9	gene
YOR312C	548	440	569	gene
YOR317W	15	47	14	gene
YOR322C	12	204	46	gene
YOR323C	72	102	125	gene
YOR326W	63	206	84	gene
YOR327C	43	32	27	gene
YOR329C	15	25	25	gene
YOR332W	209	183	143	gene
YOR335C	225	273	240	gene
YOR336W	91	34	57	gene
YOR340C	8	12	39	gene
YOR341W	152	483	172	gene
YOR342C	41	92	66	gene
YOR344C	155	58	254	gene
YOR355W	28	27	25	gene
YOR360C	18	51	20	gene
YOR361C	99	97	154	gene
YOR362C	29	160	42	gene
YOR369C	899	330	622	gene
YOR370C	11	8	47	gene
YOR372C	16	61	26	gene
YOR374W	77	75	83	gene
YOR375C	164	145	134	gene
YOR382W	41	9	20	gene
YOR383C	236	240	125	gene
YOR385W	176	90	167	gene
YOR386W	55	6	7	gene
YOR390W	41	18	33	gene
YPL273W	56	76	47	gene
YPL271W	34	38	46	gene
YPL266W	9	6	6	gene
YPL265W	35	108	48	gene
YPL263C	46	7	74	gene
YPL262W	59	47	85	gene
YPL260W	125	73	88	gene
YPL259C	41	118	59	gene
YPL256C	20	32	27	gene
YPL249C-A	520	158	474	gene
YPL246C	24	238	7	gene
YPL243W	44	18	35	gene
YPL242C	11	8	8	gene
YPL240C	720	480	443	gene
YPL239W	32	9	12	gene
YPL237W	101	55	111	gene
YPL236C	28	269	53	gene
YPL235W	26	10	14	gene
YPL234C	133	68	120	gene
YPL233W	41	27	47	gene
YPL232W	45	55	92	gene
YPL231W	1454	1503	1758	gene
YPL228W	37	46	13	gene
YPL226W	183	104	324	gene
YPL225W	25	15	15	gene
YPL222C-A	47	85	88	gene
YPL221W	102	127	178	gene
YPL220W	720	480	598	gene
YPL218W	57	68	132	gene
YPL217C	57	17	143	gene
YPL210C	39	9	20	gene
YPL203W	25	17	49	gene
YPL198W	210	261	361	gene
YPL195W	16	10	9	gene
YPL190C	159	150	116	gene
YPL184C	28	12	19	gene
YPL179W	71	172	101	gene
YPL178W	38	11	19	gene
YPL173W	10	23	11	gene
YPL169C	15	29	7	gene
YPL168W	9	11	14	gene
YPL163C	41	7	44	gene
YPL160W	388	371	246	gene
YPL156C	40	29	16	gene
YPL154C	416	95	384	gene
YPL149W	36	63	40	gene
YPL148C	16	14	31	gene
YPL146C	25	43	36	gene
YPL145C	246	69	200	gene
YPL143W	371	341	576	gene
YPL141C	10	75	54	gene
YPL140C	20	22	70	gene
YPL137C	128	140	200	gene
YPL135W	59	52	44	gene
YPL131W	1013	567	1026	gene
YPL129W	48	45	112	gene
YPL127C	13	19	55	gene
YPL126W	36	21	46	gene
YPL118W	24	6	22	gene
YPL117C	23	25	35	gene
YPL115C	19	77	35	gene
YPL109C	72	43	28	gene
YPL106C	1027	710	900	gene
YPL105C	21	63	22	gene
YPL094C	40	42	49	gene
YPL093W	62	103	28	gene
YPL091W	40	28	62	gene
YPL090C	590	417	528	gene
YPL089C	11	13	9	gene
YPL087W	71	14	8	gene
YPL085W	71	181	124	gene
YPL084W	18	49	24	gene
YPL081W	175	156	217	gene
YPL079W	368	604	463	gene
YPL075W	38	51	107	gene
YPL074W	8	12	6	gene
YPL070W	15	73	22	gene
YPL063W	40	313	53	gene
YPL061W	682	513	1155	gene
YPL059W	25	143	9	gene
YPL057C	263	331	379	gene
YPL055C	29	63	38	gene
YPL053C	9	24	29	gene
YPL050C	41	321	79	gene
YPL049C	80	192	67	gene
YPL048W	72	92	83	gene
YPL043W	13	12	14	gene
YPL037C	146	89	134	gene
YPL032C	113	161	105	gene
YPL028W	146	126	134	gene
YPL026C	11	327	56	gene
YPL023C	39	14	30	gene
YPL019C	106	224	90	gene
YPL018W	18	70	11	gene
YPL016W	15	16	10	gene
YPL014W	76	9	117	gene
YPL012W	45	216	125	gene
YPL004C	208	85	183	gene
YPL001W	35	14	13	gene
YPR004C	39	89	37	gene
YPR008W	32	36	22	gene
YPR009W	9	7	18	gene
YPR010C	131	171	179	gene
YPR016C	37	67	33	gene
YPR023C	33	16	12	gene
YPR024W	58	95	36	gene
YPR028W	188	519	324	gene
YPR033C	46	191	29	gene
YPR034W	6	10	14	gene
YPR035W	778	611	890	gene
YPR036W	176	671	187	gene
YPR036W-A	502	259	482	gene
YPR041W	87	26	73	gene
YPR042C	42	81	114	gene
YPR043W	462	372	428	gene
YPR048W	6	16	25	gene
YPR055W	12	18	13	gene
YPR062W	15	16	34	gene
YPR063C	46	32	32	gene
YPR065W	37	76	25	gene
YPR074C	456	386	445	gene
YPR080W	2335	2774	2313	gene
YPR089W	21	78	41	gene
YPR091C	74	27	112	gene
YPR093C	102	113	197	gene
YPR100W	27	7	40	gene
YPR102C	450	284	406	gene
YPR103W	80	49	84	gene
YPR108W	90	80	72	gene
YPR108W-A	10	49	43	gene
YPR110C	31	11	34	gene
YPR112C	7	28	7	gene
YPR114W	33	100	122	gene
YPR115W	12	75	31	gene
YPR116W	20	8	14	gene
YPR117W	18	58	23	gene
YPR118W	14	165	18	gene
YPR119W	29	15	12	gene
YPR129W	8	13	48	gene
YPR132W	347	103	471	gene
YPR133W-A	28	11	28	gene
YPR138C	40	120	69	gene
YPR143W	15	47	26	gene
YPR144C	40	34	7	gene
YPR145W	571	476	478	gene
YPR147C	7	6	8	gene
YPR149W	394	115	367	gene
YPR153W	16	6	69	gene
YPR154W	147	82	163	gene
YPR156C	106	194	18	gene
YPR158W	52	61	22	gene
YPR159W	157	181	196	gene
YPR163C	292	138	163	gene
YPR164W	34	21	29	gene
YPR165W	200	103	340	gene
YPR169W	7	11	60	gene
YPR171W	6	10	13	gene
YPR173C	16	64	14	gene
YPR180W	8	69	12	gene
YPR181C	262	355	325	gene
YPR183W	21	45	36	gene
YPR189W	20	24	37	gene
YPR191W	26	40	32	gene
Q0045	175	239	442	gene
Q0085	53	100	116	gene
Q0105	109	71	145	gene
Q0130	115	47	192	gene
Q0250	193	154	332	gene
Q0275	129	108	75	gene
RPR1	1699	2684	3111	ncRNA_gene
SRG1	107	59	159	ncRNA_gene
SCR1	6990	9326	10170	ncRNA_gene
RME2	15	65	42	ncRNA_gene
RDN5-1	109455	72746	93193	rRNA_gene
Q0020	1220	988	1840	rRNA_gene
Q0158	2724	2323	4317	rRNA_gene
snR56	2448	1660	1688	snoRNA_gene
snR161	586	676	766	snoRNA_gene
snR43	2272	2054	2665	snoRNA_gene
snR33	92	18	64	snoRNA_gene
snR65	261	371	256	snoRNA_gene
snR189	5654	7908	6273	snoRNA_gene
snR63	2903	4462	5185	snoRNA_gene
snR47	1620	1442	1791	snoRNA_gene
snR13	936	1411	1407	snoRNA_gene
snR84	1867	3119	3585	snoRNA_gene
snR80	1868	1466	1214	snoRNA_gene
snR67	1298	796	1189	snoRNA_gene
snR53	841	814	856	snoRNA_gene
snR4	4896	4486	5401	snoRNA_gene
snR52	4000	3689	4660	snoRNA_gene
snR39B	1761	1637	1884	snoRNA_gene
snR46	1984	2182	2506	snoRNA_gene
snR48	7924	8246	11609	snoRNA_gene
snR32	6353	7748	5926	snoRNA_gene
snR71	1186	1371	1473	snoRNA_gene
snR68	882	532	986	snoRNA_gene
snR128	4477	12555	8219	snoRNA_gene
snR190	7880	11027	12321	snoRNA_gene
snR37	18930	27383	38911	snoRNA_gene
snR3	18503	11555	16183	snoRNA_gene
snR64	1275	1612	1131	snoRNA_gene
snR69	504	840	636	snoRNA_gene
snR87	533	412	522	snoRNA_gene
snR42	4548	6668	7574	snoRNA_gene
snR30	14128	19787	22016	snoRNA_gene
snR79	1408	1559	1836	snoRNA_gene
snR61	2049	3163	2908	snoRNA_gene
snR55	3324	3996	3706	snoRNA_gene
snR57	8151	6190	4988	snoRNA_gene
snR34	8831	8007	7930	snoRNA_gene
snR85	2296	2398	2177	snoRNA_gene
snR78	1324	618	782	snoRNA_gene
snR77	2066	2971	2416	snoRNA_gene
snR76	1174	1211	1108	snoRNA_gene
snR75	1796	1163	1562	snoRNA_gene
snR74	1097	456	455	snoRNA_gene
snR72	1494	990	2064	snoRNA_gene
snR83	5203	4873	7478	snoRNA_gene
snR11	13041	13705	18522	snoRNA_gene
snR86	5012	8930	11698	snoRNA_gene
snR40	6014	6309	5908	snoRNA_gene
NME1	21702	7641	13869	snoRNA_gene
snR66	903	866	541	snoRNA_gene
snR49	2663	2281	2872	snoRNA_gene
snR58	2046	1889	2039	snoRNA_gene
snR81	2610	1417	2737	snoRNA_gene
snR50	235	501	468	snoRNA_gene
snR9	14552	13438	14973	snoRNA_gene
snR62	970	1772	1527	snoRNA_gene
snR36	915	569	834	snoRNA_gene
snR35	8565	7231	9064	snoRNA_gene
snR8	10534	9472	8421	snoRNA_gene
snR31	4060	4993	4002	snoRNA_gene
snR5	8644	10046	11100	snoRNA_gene
snR17b	12275	13572	14122	snoRNA_gene
snR51	2603	2534	3445	snoRNA_gene
snR70	19856	15187	17790	snoRNA_gene
snR41	4394	4625	4277	snoRNA_gene
snR45	15493	9548	14027	snoRNA_gene
LSR1	8682	12544	19472	snRNA_gene
snR14	6630	4262	6746	snRNA_gene
snR7-L	63	47	46	snRNA_gene
snR6	13858	8813	14343	snRNA_gene
snR19	4879	5360	10276	snRNA_gene
TLC1	713	1063	2082	telomerase_RNA_gene
tP(UGG)A	210	426	315	tRNA_gene
tA(UGC)A	88	203	31	tRNA_gene
tL(CAA)A	501	3766	4826	tRNA_gene
tS(AGA)A	135	449	178	tRNA_gene
tF(GAA)B	269	527	347	tRNA_gene
tI(AAU)B	6	8	15	tRNA_gene
tS(AGA)B	48	50	57	tRNA_gene
tV(UAC)B	308	191	228	tRNA_gene
tL(UAA)B2	71	13	50	tRNA_gene
tQ(UUG)B	213	216	177	tRNA_gene
tC(GCA)B	52	55	123	tRNA_gene
tE(UUC)B	19	33	8	tRNA_gene
tL(CAA)C	489	3182	2755	tRNA_gene
tP(AGG)C	55	96	29	tRNA_gene
tN(GUU)C	185	182	93	tRNA_gene
tS(CGA)C	1568	2202	1733	tRNA_gene
tK(UUU)D	311	259	331	tRNA_gene
tS(AGA)D1	1849	3513	1564	tRNA_gene
tV(UAC)D	98	99	220	tRNA_gene
tL(UAA)D	71	103	109	tRNA_gene
tR(ACG)D	48	39	67	tRNA_gene
tI(AAU)D	9	21	12	tRNA_gene
tQ(UUG)D3	150	53	54	tRNA_gene
tI(UAU)D	5106	10049	9370	tRNA_gene
tY(GUA)D	68	86	73	tRNA_gene
tS(AGA)D2	178	304	222	tRNA_gene
tG(GCC)D2	60	57	29	tRNA_gene
tV(CAC)D	268	166	124	tRNA_gene
tF(GAA)D	581	556	358	tRNA_gene
tX(XXX)D	440	463	418	tRNA_gene
tM(CAU)D	46	96	29	tRNA_gene
tK(CUU)D1	28	65	63	tRNA_gene
tG(CCC)D	165	164	83	tRNA_gene
tS(AGA)D3	39	135	61	tRNA_gene
tL(CAA)D	358	3618	3858	tRNA_gene
tG(GCC)E	27	14	13	tRNA_gene
tM(CAU)E	32	21	53	tRNA_gene
tQ(UUG)E2	140	212	209	tRNA_gene
tK(CUU)E1	8	6	33	tRNA_gene
tH(GUG)E1	31	26	24	tRNA_gene
tS(UGA)E	151	176	107	tRNA_gene
tA(UGC)E	22	35	82	tRNA_gene
tE(UUC)E2	17	45	34	tRNA_gene
tH(GUG)E2	44	9	10	tRNA_gene
tI(AAU)E1	29	30	20	tRNA_gene
tE(UUC)E3	21	16	15	tRNA_gene
tR(ACG)E	247	465	277	tRNA_gene
tP(UGG)F	250	1189	504	tRNA_gene
tN(GUU)F	24	68	13	tRNA_gene
tF(GAA)F	116	51	47	tRNA_gene
tG(GCC)F1	11	6	26	tRNA_gene
tS(GCU)F	2730	5794	2053	tRNA_gene
tA(AGC)F	43	55	26	tRNA_gene
tY(GUA)F2	6	6	9	tRNA_gene
tK(CUU)F	78	15	89	tRNA_gene
tV(AAC)G3	97	179	154	tRNA_gene
tH(GUG)G1	109	13	58	tRNA_gene
tK(UUU)G1	536	685	704	tRNA_gene
tK(CUU)G1	82	74	153	tRNA_gene
tL(CAA)G1	684	4898	4821	tRNA_gene
tW(CCA)G1	171	122	246	tRNA_gene
tH(GUG)G2	248	287	221	tRNA_gene
tR(UCU)G1	61	58	75	tRNA_gene
tV(AAC)G1	90	49	93	tRNA_gene
tL(CAA)G2	63	155	210	tRNA_gene
tF(GAA)G	182	132	107	tRNA_gene
tD(GUC)G1	25	25	19	tRNA_gene
tE(UUC)G3	20	17	31	tRNA_gene
tS(AGA)G	86	290	89	tRNA_gene
tT(UGU)G1	53	23	40	tRNA_gene
tL(GAG)G	802	1031	558	tRNA_gene
tK(UUU)G2	554	1300	878	tRNA_gene
tC(GCA)G	63	445	19	tRNA_gene
tN(GUU)G	25	50	21	tRNA_gene
tR(UCU)G3	87	18	67	tRNA_gene
tA(AGC)G	7	7	21	tRNA_gene
tG(UCC)G	67	67	45	tRNA_gene
tV(AAC)G2	49	12	44	tRNA_gene
tR(UCU)G2	17	21	11	tRNA_gene
tL(CAA)G3	1091	6485	7064	tRNA_gene
tW(CCA)G2	618	749	672	tRNA_gene
tT(UGU)G2	33	16	64	tRNA_gene
tH(GUG)H	67	85	7	tRNA_gene
tS(AGA)H	369	872	345	tRNA_gene
tF(GAA)H1	35	52	22	tRNA_gene
tF(GAA)H2	27	22	17	tRNA_gene
tV(CAC)H	90	66	53	tRNA_gene
tT(AGU)I1	74	118	14	tRNA_gene
tI(AAU)I1	33	65	40	tRNA_gene
tE(CUC)I	317	278	186	tRNA_gene
tI(AAU)I2	25	34	13	tRNA_gene
tS(UGA)I	251	249	227	tRNA_gene
tE(UUC)I	26	32	23	tRNA_gene
tT(AGU)J	23	71	33	tRNA_gene
tE(UUC)J	16	6	14	tRNA_gene
tA(AGC)J	9	124	17	tRNA_gene
tR(ACG)J	103	120	114	tRNA_gene
tY(GUA)J1	115	50	97	tRNA_gene
tG(GCC)J1	12	21	16	tRNA_gene
tK(CUU)J	79	109	88	tRNA_gene
tW(CCA)J	172	193	262	tRNA_gene
tM(CAU)J2	155	78	180	tRNA_gene
tM(CAU)J3	71	42	53	tRNA_gene
tS(AGA)J	28	98	43	tRNA_gene
tR(CCU)J	251	350	187	tRNA_gene
tY(GUA)J2	63	65	79	tRNA_gene
tL(UAG)J	85	177	377	tRNA_gene
tT(CGU)K	463	1120	366	tRNA_gene
tN(GUU)K	4429	9558	3340	tRNA_gene
tL(UAA)K	56	26	30	tRNA_gene
tA(AGC)K1	36	19	12	tRNA_gene
tW(CCA)K	693	610	401	tRNA_gene
tH(GUG)K	140	16	90	tRNA_gene
tV(AAC)K2	54	15	65	tRNA_gene
tL(CAA)K	197	572	633	tRNA_gene
tR(ACG)K	221	228	280	tRNA_gene
tA(AGC)K2	6	43	13	tRNA_gene
tK(UUU)K	18	61	14	tRNA_gene
tP(UGG)L	119	358	362	tRNA_gene
tS(AGA)L	60	80	56	tRNA_gene
tA(UGC)L	85	27	21	tRNA_gene
tR(ACG)L	38	111	22	tRNA_gene
tQ(UUG)L	40	44	40	tRNA_gene
tL(UAG)L1	487	1504	1836	tRNA_gene
tI(UAU)L	3562	6824	7288	tRNA_gene
tL(CAA)L	840	6406	5727	tRNA_gene
tA(AGC)L	28	39	28	tRNA_gene
tV(AAC)L	13	17	16	tRNA_gene
tL(UAG)L2	1270	4045	4856	tRNA_gene
tI(AAU)L1	24	11	15	tRNA_gene
tX(XXX)L	223	239	286	tRNA_gene
tD(GUC)L2	21	59	25	tRNA_gene
tR(CCG)L	195	178	132	tRNA_gene
tN(GUU)L	163	148	82	tRNA_gene
tR(UCU)M2	127	233	65	tRNA_gene
tP(UGG)M	85	201	112	tRNA_gene
tS(AGA)M	46	152	69	tRNA_gene
tE(UUC)M	171	168	126	tRNA_gene
tF(GAA)M	311	658	310	tRNA_gene
tW(CCA)M	2465	2676	2928	tRNA_gene
tK(CUU)M	170	118	139	tRNA_gene
tL(CAA)M	124	630	620	tRNA_gene
tM(CAU)M	66	59	49	tRNA_gene
tA(AGC)M2	7	25	22	tRNA_gene
tQ(CUG)M	812	819	814	tRNA_gene
tG(UCC)N	37	14	8	tRNA_gene
tN(GUU)N1	80	82	67	tRNA_gene
tT(AGU)N1	14	45	22	tRNA_gene
tF(GAA)N	173	163	174	tRNA_gene
tL(CAA)N	151	656	669	tRNA_gene
tD(GUC)N	10	6	14	tRNA_gene
tT(AGU)N2	21	9	15	tRNA_gene
tP(UGG)N2	142	145	97	tRNA_gene
tP(AGG)N	88	120	52	tRNA_gene
tN(GUU)N2	80	170	62	tRNA_gene
tG(UCC)O	59	45	37	tRNA_gene
tN(GUU)O1	105	38	75	tRNA_gene
tS(GCU)O	2350	5302	2695	tRNA_gene
tY(GUA)O	51	78	52	tRNA_gene
tR(ACG)O	13	11	63	tRNA_gene
tT(AGU)O2	6	78	16	tRNA_gene
tK(UUU)O	64	145	46	tRNA_gene
tN(GUU)O2	90	70	40	tRNA_gene
tG(CCC)O	143	87	53	tRNA_gene
tV(AAC)O	105	11	84	tRNA_gene
tM(CAU)O1	49	14	16	tRNA_gene
tM(CAU)O2	34	10	45	tRNA_gene
tP(UGG)O3	239	642	462	tRNA_gene
tW(CCA)P	1506	1215	1809	tRNA_gene
tM(CAU)P	17	36	18	tRNA_gene
tF(GAA)P1	156	39	85	tRNA_gene
tG(GCC)P1	19	23	14	tRNA_gene
tF(GAA)P2	79	60	39	tRNA_gene
tS(UGA)P	414	407	364	tRNA_gene
tC(GCA)P2	210	233	75	tRNA_gene
tN(GUU)P	203	321	116	tRNA_gene
tI(AAU)P1	24	12	19	tRNA_gene
tA(AGC)P	38	49	8	tRNA_gene
tI(AAU)P2	34	42	42	tRNA_gene
tW(UCA)Q	70	15	40	tRNA_gene
tE(UUC)Q	63	11	56	tRNA_gene
tS(UGA)Q2	108	6	98	tRNA_gene
tT(UGU)Q1	27	24	45	tRNA_gene
tC(GCA)Q	24	67	9	tRNA_gene
tR(UCU)Q1	27	92	34	tRNA_gene
tG(UCC)Q	56	92	19	tRNA_gene
tD(GUC)Q	27	63	31	tRNA_gene
tI(GAU)Q	21	15	13	tRNA_gene
tY(GUA)Q	106	26	58	tRNA_gene
tT(UAG)Q2	23	17	41	tRNA_gene
tM(CAU)Q2	25	11	32	tRNA_gene
lncRNA_33	37	10	25	lncRNA
lncRNA_75	102	39	127	lncRNA
lncRNA_78	8	31	36	lncRNA
lncRNA_100	9	84	16	lncRNA
lncRNA_145	27	29	10	lncRNA
lncRNA_180	10	6	7	lncRNA
lncRNA_227	10	28	7	lncRNA
lncRNA_240	41	21	40	lncRNA
lncRNA_252	14	59	7	lncRNA
lncRNA_521	6	6	9	lncRNA
lncRNA_638	40	66	78	lncRNA
lncRNA_643	6	24	34	lncRNA
lncRNA_652	18	43	83	lncRNA
lncRNA_660	11	7	37	lncRNA
lncRNA_674	22	69	87	lncRNA
lncRNA_675	16	6	45	lncRNA
lncRNA_682	32	78	63	lncRNA
lncRNA_691	92	186	104	lncRNA
lncRNA_719	77	21	35	lncRNA
lncRNA_809	16	40	59	lncRNA
lncRNA_828	141	200	388	lncRNA
lncRNA_831	70	86	47	lncRNA
lncRNA_833	80	40	107	lncRNA
lncRNA_860	34	28	66	lncRNA
lncRNA_934	22	9	9	lncRNA
lncRNA_998	15	38	12	lncRNA
lncRNA_1127	37	31	44	lncRNA
lncRNA_1153	36	24	34	lncRNA
lncRNA_1154	107	129	148	lncRNA
lncRNA_1221	10	12	9	lncRNA
lncRNA_1307	79	15	90	lncRNA
lncRNA_1332	1229	2174	2272	lncRNA
lncRNA_1345	63	348	35	lncRNA
lncRNA_1423	45	20	44	lncRNA
lncRNA_1426	25	45	51	lncRNA
lncRNA_1431	10	17	14	lncRNA
lncRNA_1509	37	35	14	lncRNA
lncRNA_1558	7	27	18	lncRNA
lncRNA_1613	12	121	69	lncRNA
lncRNA_1637	29	38	17	lncRNA
lncRNA_1693	79	16	51	lncRNA
lncRNA_1708	82	151	110	lncRNA
lncRNA_1724	32	82	47	lncRNA
lncRNA_1769	14	53	35	lncRNA
lncRNA_1777	23	64	15	lncRNA
lncRNA_1797	14	97	15	lncRNA
lncRNA_1813	13	18	41	lncRNA
lncRNA_1818	8	13	10	lncRNA
lncRNA_1849	11	11	31	lncRNA
lncRNA_1926	6	27	17	lncRNA
lncRNA_1932	9	6	11	lncRNA
lncRNA_1979	9	35	15	lncRNA
lncRNA_2015	24	27	101	lncRNA
lncRNA_2025	19	22	58	lncRNA
lncRNA_2059	12	24	43	lncRNA
lncRNA_2135	20	10	33	lncRNA
lncRNA_2180	12	23	50	lncRNA
lncRNA_2184	12	44	9	lncRNA
lncRNA_2214	8	6	8	lncRNA
lncRNA_2233	19	6	47	lncRNA
lncRNA_2276	7	6	9	lncRNA
lncRNA_2286	8	25	35	lncRNA
lncRNA_2296	22	179	64	lncRNA
lncRNA_2321	40	38	61	lncRNA
lncRNA_2339	29	19	10	lncRNA
lncRNA_2418	36	40	42	lncRNA
